step,time_hours,attempt_index,stage,accepted,converged,message,failure_reason,preconditioner,outer_aitken_initial,coupling_iterations,picard_iterations,gmres_iterations,ice_residual,gmres_residual,coupling_residual,water_residual,helmholtz_residual,attempt_total_seconds,outer_coupling_seconds,coupling_overhead_seconds,ice_solve_seconds,matrix_assembly_seconds,preconditioner_build_seconds,gmres_seconds,ice_residual_evaluation_seconds,ocean_solve_seconds,thickness_transport_seconds,force_budget_seconds,postprocess_seconds,ilu_builds,ilu_reuses,ilu_rebuilds,preconditioner_fallbacks,initial_guess_strategy,initial_guess_fallback_reason,outer_acceleration,acceleration_fallbacks,acceleration_history_clears,acceleration_clear_reasons,cache_invalidation_reason,active_center_count_before,active_center_count_after,active_center_mask_changes,active_u_mask_changes,active_v_mask_changes
1,0.08333333333333333,1,standard,True,True,converged,,ilu,0.5,10,68,1964,0.0003508599211787811,1.6444572815568085e-09,8.395774742901453e-06,4.166181766935159e-09,5.2707564561157095e-14,19.437335500027984,19.392883400025312,0.05095440015429631,18.911633999901824,4.226553700165823,4.55336010013707,7.031094899983145,3.0268870998406783,0.43029499996919185,0.0002245000214315951,0.042743299971334636,0.00031540001509711146,61,7,51,0,previous_accepted_state,insufficient_accepted_history,protected_anderson,3,2,coupling_residual_increased|coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
2,0.16666666666666666,1,standard,True,True,converged,,ilu,0.5,4,150,885,0.0003217644190928607,9.195009181019223e-09,8.08485798984457e-06,9.165400862123081e-10,1.035367954178202e-13,27.793356699985452,27.74487080000108,0.016922300041187555,27.567416200006846,9.512295899854507,8.408297599875368,2.746608100074809,6.747310100006871,0.1605322999530472,0.0005027000443078578,0.04569699999410659,0.000168000056874007,111,39,107,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,5000,5000,0,0,0
3,0.25,1,standard,True,True,converged,,ilu,0.5,7,107,1696,0.0003194012353589025,6.904664360872897e-10,7.942457440564433e-06,1.33450619767105e-09,1.4760880690837948e-13,22.49462220002897,22.449492599989753,0.0411527999676764,22.117927699990105,6.414205299981404,6.307719899981748,4.702297499636188,4.584988299931865,0.29041210003197193,0.0002142000012099743,0.043347899976652116,0.0001610000035725534,85,22,78,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,5000,5000,0,0,0
4,0.3333333333333333,1,standard,True,True,converged,,ilu,0.5,13,103,5203,7.046156202377519e-05,5.558073182430963e-10,9.434491791097717e-06,2.2581866044788085e-09,1.467058469272797e-13,32.83225490001496,32.78624360001413,0.08286310004768893,32.14634479995584,6.196715799567755,4.666795499972068,16.734608300437685,4.439345999970101,0.5570357000106014,0.00021789997117593884,0.044269500009249896,0.00016930000856518745,63,40,50,0,two_state_linear_predictor,,protected_anderson,3,2,anderson_step_guard|coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
5,0.4166666666666667,1,standard,False,False,frozen residual or hard check failed,coupling_iteration_limit,ilu,0.5,100,163,11834,4.597901599313067e-05,1.866860153777019e-09,1.058442743217037e-05,1.8987376090339046e-09,1.4458509962570167e-13,81.2674775000196,81.26616050000302,0.5549122000229545,76.39933929999825,9.584074200480245,10.187645499245264,49.32437700033188,7.079456000064965,4.311908999981824,0.0,0.0,0.0001979000517167151,146,17,46,0,two_state_linear_predictor,,protected_anderson,93,93,coupling_residual_increased|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|failed_attempt_rollback,no_cache_phase1,5000,5000,0,0,0
5,0.4166666666666667,2,reset_aitken,True,True,converged,,ilu,0.2,25,96,7081,6.0287267744329915e-05,1.660459297374541e-09,7.907886722182655e-06,1.898719123317905e-09,1.4310635119361213e-13,47.08821660000831,47.04099020001013,0.1454047000152059,45.82006339990767,5.798699600389227,5.338215199939441,30.315696000063326,4.256217400135938,1.0755221000872552,0.0003535000141710043,0.04512850003084168,0.00022299995180219412,75,21,50,0,two_state_linear_predictor,,protected_anderson,8,7,coupling_residual_increased|anderson_step_guard|coupling_residual_increased|coupling_residual_increased|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
6,0.5,1,standard,True,True,converged,,ilu,0.5,5,81,4443,0.0009974532298937873,8.683485768737931e-09,9.722096423310083e-06,8.957929388922199e-10,1.3277075511420774e-13,27.607572100008838,27.562736299994867,0.025304900016635656,27.305665599997155,4.969395199790597,3.542148199514486,15.187930700136349,3.5238215998979285,0.23176579998107627,0.00022559997159987688,0.043269400019198656,0.00016380002489313483,48,33,43,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,5000,5000,0,0,0
7,0.5833333333333334,1,standard,True,True,converged,,ilu,0.5,13,50,2869,0.00014983880375623131,6.340460750749299e-10,7.104387251122885e-06,2.3493638153466544e-09,1.178023873891655e-13,19.020094999985304,18.97642750001978,0.07226310018450022,18.38985789997969,3.072285399772227,3.05520019994583,10.085626799904276,2.1208666000165977,0.5143064998555928,0.00026030000299215317,0.04169939999701455,0.00027030002092942595,41,9,28,0,two_state_linear_predictor,,protected_anderson,4,3,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
8,0.6666666666666666,1,standard,True,True,converged,,ilu,0.5,11,111,6218,0.0003346679502529336,5.756097529860666e-10,7.420625953564372e-06,6.019335316171248e-10,1.1093700289969774e-13,39.081768599979114,39.03068429999985,0.06087789998855442,38.49321699998109,6.718556500272825,4.861545700347051,22.022647099744063,4.773198800045066,0.4765894000302069,0.00024009996559470892,0.04922729998361319,0.00014859996736049652,67,44,56,0,two_state_linear_predictor,,protected_anderson,3,2,coupling_residual_increased|coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
9,0.75,1,standard,True,True,converged,,ilu,0.5,27,108,8281,0.0001433561428193279,1.9446979975575903e-09,9.648757748734056e-06,7.045468959291961e-10,1.1024088158996843e-13,55.210014800017234,55.16265339998063,0.15570449992083013,53.83171669987496,6.444882699579466,5.250507400021888,37.38841840001987,4.623691200336907,1.175232200184837,0.00048699998296797276,0.04428249999182299,0.00015710003208369017,72,36,45,0,two_state_linear_predictor,,protected_anderson,16,15,anderson_step_guard|coupling_residual_increased|anderson_step_guard|anderson_step_guard|coupling_residual_increased|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
10,0.8333333333333334,1,standard,True,True,converged,,ilu,0.5,32,110,5665,0.0001299785927870055,1.0587440755374108e-09,9.853996878506006e-06,9.970549506521354e-09,1.1262343701015589e-13,39.21222210000269,39.16084530000808,0.17166410019854084,37.633694000018295,6.633631900069304,5.342390299832914,20.700832200003788,4.827421400405001,1.3554871997912414,0.0002001000102609396,0.04866319999564439,0.00027050002245232463,74,36,42,0,two_state_linear_predictor,,protected_anderson,26,25,coupling_residual_increased|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
11,0.9166666666666666,1,standard,True,True,converged,,ilu,0.5,11,106,5297,0.00024017851815006462,5.604612494038903e-10,2.4993663730565213e-06,4.542994176288116e-09,1.1789367129364737e-13,34.69476429995848,34.65001150005264,0.062017599993851036,34.1441587000736,6.506242000323255,5.008954199962318,17.929733299766667,4.584990199597087,0.4438351999851875,0.00022219994571059942,0.04270009999163449,0.00020479998784139752,69,37,58,0,two_state_linear_predictor,,protected_anderson,3,2,anderson_step_guard|coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
12,1.0,1,standard,True,True,converged,,ilu,0.5,9,129,5482,0.0008092167264638295,4.404264132014126e-10,9.359489672100751e-06,3.6742752940765464e-09,1.227848197954694e-13,37.14934689999791,37.10231809999095,0.04819230001885444,36.63041009998415,7.893213399976958,5.430719100055285,17.62354569969466,5.544892499863636,0.42371569998795167,0.00021579995518550277,0.04525110003305599,0.00016799999866634607,74,55,65,0,two_state_linear_predictor,,protected_anderson,3,2,anderson_step_guard|coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
13,1.0833333333333333,1,standard,True,True,converged,,ilu,0.5,37,165,7020,0.00020921774491702893,3.880683426061026e-09,9.803868186118368e-06,5.120566444943975e-09,1.238964347523817e-13,49.54285849997541,49.48883609997574,0.19406359997810796,47.638151499792,9.839375099632889,7.870561099844053,22.604724300210364,7.132806999841705,1.6566210002056323,0.0002471000188961625,0.05115810001734644,0.00015899998834356666,109,56,72,0,two_state_linear_predictor,,protected_anderson,24,23,anderson_step_guard|coupling_residual_increased|anderson_step_guard|coupling_residual_increased|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
14,1.1666666666666667,1,standard,True,True,converged,,ilu,0.5,10,139,5362,0.0005200471368819676,1.8655373774469166e-09,6.668498697032646e-06,4.952437656095299e-09,1.2048022713879226e-13,37.60208199999761,37.53786920005223,0.046219399955589324,37.08532940002624,8.434587699885014,5.834969500137959,16.695122399716638,5.9722382999025285,0.40632040007039905,0.000283299945294857,0.06217280001146719,0.0003404999733902514,78,61,68,0,two_state_linear_predictor,,protected_anderson,3,2,coupling_residual_increased|coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
15,1.25,1,standard,True,True,converged,,ilu,0.5,40,186,5401,0.0003020380143090024,4.27677646047718e-09,9.733660783947912e-06,3.984614716677131e-09,1.245770657503853e-13,46.42346650001127,46.37230190000264,0.17641009984072298,44.4418645001133,11.385823499935213,8.79148779984098,15.955618800013326,8.092401100147981,1.7540273000486195,0.00035099999513477087,0.04871389997424558,0.0001629000180400908,121,65,81,0,two_state_linear_predictor,,protected_anderson,34,33,anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
16,1.3333333333333333,1,standard,True,True,converged,,ilu,0.5,7,90,3175,0.0006285361930469413,1.117049465171491e-09,7.363263566981865e-06,3.5515395212860833e-09,1.2309603138965764e-13,23.2766381999827,23.229652700014412,0.0324172000400722,22.901923499943223,5.581024700019043,3.576719699543901,9.599993100273423,4.030577800353058,0.29531200003111735,0.00027009996119886637,0.045085999998264015,0.00016549997963011265,48,42,41,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
17,1.4166666666666667,1,standard,True,True,converged,,ilu,0.5,72,189,5270,0.00019812749402733497,2.559851418945993e-09,9.907424371252965e-06,3.878401875823863e-09,1.2153058641688966e-13,47.50849209999433,47.442052399972454,0.3021315001533367,44.116155600058846,10.992043500067666,9.337548999581486,15.383004700066522,8.154249300365336,3.023765299760271,0.000208500016015023,0.06445170001825318,0.0002807000419124961,132,57,60,0,two_state_linear_predictor,,protected_anderson,66,65,anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
18,1.5,1,standard,True,True,converged,,ilu,0.5,12,130,3813,0.0005575784997770159,3.680407721100309e-09,9.955997025304026e-06,4.270339620888149e-09,1.1890129425998723e-13,31.37398239999311,31.328624900022987,0.060040999785996974,30.778392700187396,7.885109399503563,5.881692000140902,11.219760600128211,5.652912199497223,0.49019120004959404,0.0003114999854005873,0.04352469998411834,0.00015140004688873887,79,51,67,0,two_state_linear_predictor,,protected_anderson,6,5,anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
19,1.5833333333333333,1,standard,True,True,converged,,ilu,0.5,7,135,3323,0.0007518156416958223,1.2463925850753753e-09,8.717013300742387e-06,4.423820126247902e-09,1.207202100099791e-13,29.804168700007722,29.756161299999803,0.033340000023599714,29.433034099987708,8.251819999713916,5.745284299540799,9.403229800227564,5.892569700197782,0.28978719998849556,0.0006188999977894127,0.04474839998874813,0.0003556999727152288,78,57,71,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
20,1.6666666666666667,1,standard,True,True,converged,,ilu,0.5,36,183,4594,0.00021810137125087363,6.379539557046989e-09,9.958043012954018e-06,4.369801874907567e-09,1.2112036823449157e-13,42.18913910002448,42.144968100008555,0.16537259967299178,40.40287520032143,11.037803700193763,8.303871999960393,12.926511399797164,7.9290556001942605,1.5767203000141308,0.000262599962297827,0.042291699966881424,0.00016120000509545207,112,71,76,0,two_state_linear_predictor,,protected_anderson,27,26,anderson_step_guard|coupling_residual_increased|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
21,1.75,1,standard,True,True,converged,,ilu,0.5,15,146,4275,0.0006162567019335033,6.251814350592072e-09,9.760275200246565e-06,4.382068478515822e-09,1.219272424050803e-13,33.986790799943265,33.940451800008304,0.06899200001498684,33.238343000004534,8.798041899863165,5.808823399944231,12.162043000105768,6.3130680999020115,0.6331167999887839,0.0002112000365741551,0.044671899988316,0.00015820004045963287,80,66,65,0,two_state_linear_predictor,,protected_anderson,9,8,anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
22,1.8333333333333333,1,standard,True,True,converged,,ilu,0.5,41,198,4622,0.0003386286182625753,5.146003005289283e-09,9.844694749209183e-06,4.605666391492779e-09,1.2338608933924975e-13,44.779127300018445,44.73209260002477,0.18309980042977259,42.73091729963198,11.774323900230229,9.37118059990462,12.74900590046309,8.61820649978472,1.8180754999630153,0.00031969998963177204,0.04440259997500107,0.00017670000670477748,127,71,86,0,two_state_linear_predictor,,protected_anderson,34,33,anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
23,1.9166666666666667,1,standard,False,False,frozen residual or hard check failed,ice_picard_or_gmres_not_converged,ilu,0.5,0,100,2488,0.0013800852185218559,9.307267994819017e-09,inf,inf,inf,21.15960700000869,21.158060499990825,0.0014481000252999365,21.156612399965525,6.000172499625478,4.010488200350665,6.691227899806108,4.35587799991481,0.0,0.0,0.0,0.0001674999948590994,54,46,53,0,two_state_linear_predictor,,protected_anderson,0,1,failed_attempt_rollback,no_cache_phase1,5000,5000,0,0,0
23,1.9166666666666667,2,reset_aitken,True,True,converged,,ilu,0.2,5,261,5818,0.0009306466109904305,2.677496033631075e-09,8.390692179672933e-06,4.791815746462264e-09,1.2068143599190683e-13,53.63716630003182,53.59175050002523,0.022421900066547096,53.34827439999208,15.869139100017492,10.290065100591164,15.557798099529464,11.36473740026122,0.22105419996660203,0.0002164000179618597,0.04386699997121468,0.00016629998572170734,139,122,134,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,5000,5000,0,0,0
24,2.0,1,standard,False,False,frozen residual or hard check failed,ice_picard_or_gmres_not_converged,ilu,0.5,0,100,1391,0.0010717908799340674,9.47338868739144e-09,inf,inf,inf,18.21750929998234,18.216215099964757,0.0008139999117702246,18.215401100052986,5.910222899809014,4.148658500285819,3.7378085996606387,4.317192699818406,0.0,0.0,0.0,0.00016639998648315668,56,44,55,0,two_state_linear_predictor,,protected_anderson,0,1,failed_attempt_rollback,no_cache_phase1,5000,5000,0,0,0
24,2.0,2,reset_aitken,True,True,converged,,ilu,0.2,45,254,3340,0.0004954596611951817,9.403145631766966e-10,9.998161642786678e-06,4.907271749642261e-09,1.2339423226168782e-13,49.18685550004011,49.14303600002313,0.19582989992341027,47.04776850016788,15.24809969967464,11.549374200112652,8.909830199554563,11.063980599516071,1.8994375999318436,0.00023860001238062978,0.04204630001913756,0.0001976999919861555,160,94,115,0,two_state_linear_predictor,,protected_anderson,38,37,anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,5000,5000,0,0,0
25,2.0833333333333335,1,standard,False,False,frozen residual or hard check failed,ice_picard_or_gmres_not_converged,ilu,0.5,0,100,487,0.0011150749294703223,9.216687660931598e-09,inf,inf,inf,16.06211329996586,16.060889400017913,0.0006309000309556723,16.060258499986958,5.963425499852747,4.080770199594554,1.5902726001804695,4.325121900241356,0.0,0.0,0.0,0.00016659998800605536,56,44,55,0,two_state_linear_predictor,,protected_anderson,0,1,failed_attempt_rollback,no_cache_phase1,5000,5000,0,0,0
25,2.0833333333333335,2,reset_aitken,True,True,converged,,ilu,0.2,9,220,1056,0.0004675817336189681,3.102269383555741e-10,7.049966492942428e-06,5.028617430104527e-09,1.2133769593201837e-13,36.13177350000478,36.08832809998421,0.03526649990817532,35.66607550001936,13.33365689998027,9.101690400275402,3.4209953996469267,9.59322030004114,0.38698610005667433,0.00024829996982589364,0.04156490002060309,0.00016299996059387922,123,97,114,0,two_state_linear_predictor,,protected_anderson,3,2,coupling_residual_increased|coupling_residual_increased,no_cache_phase1,5000,5000,0,0,0
26,2.1666666666666665,1,standard,False,False,frozen residual or hard check failed,ice_picard_or_gmres_not_converged,ilu,0.5,0,100,456,0.0016925086901255347,9.70389478992698e-09,inf,inf,inf,15.677145300025586,15.675884600030258,0.0006679000216536224,15.675216700008605,5.935626900463831,3.797274600365199,1.4916709001990966,4.355135299789254,0.0,0.0,0.0,0.0001648000325076282,52,48,51,0,two_state_linear_predictor,,protected_anderson,0,1,failed_attempt_rollback,no_cache_phase1,5000,5000,0,0,0
