step,time_seconds,time_hours,F_I_abs_median,F_I_abs_p95,F_I_abs_maximum,F_C_abs_median,F_C_abs_p95,F_C_abs_maximum,F_sigma_abs_median,F_sigma_abs_p95,F_sigma_abs_maximum,F_D_abs_median,F_D_abs_p95,F_D_abs_maximum,F_W_abs_median,F_W_abs_p95,F_W_abs_maximum,combined_missing_abs_median,combined_missing_abs_p95,combined_missing_abs_maximum,undirected_IC_abs_sum_median,undirected_IC_abs_sum_p95,undirected_IC_abs_sum_maximum,retained_abs_sum_median,retained_abs_sum_p95,retained_abs_sum_maximum,retained_net_abs_median,retained_net_abs_p95,retained_net_abs_maximum,r_IC_corrected_median,r_IC_corrected_p95,r_IC_corrected_maximum,r_Sigma_median,r_Sigma_p95,r_Sigma_maximum,r_net_corrected_median,r_net_corrected_p95,r_net_corrected_maximum,deprecated_FI_plus_FC_abs_median,deprecated_FI_plus_FC_abs_p95,deprecated_FI_plus_FC_abs_maximum,r_IC_deprecated_FI_plus_FC_median,r_IC_deprecated_FI_plus_FC_p95,r_IC_deprecated_FI_plus_FC_maximum,r_net_deprecated_FI_plus_FC_median,r_net_deprecated_FI_plus_FC_p95,r_net_deprecated_FI_plus_FC_maximum,active_center_count_median,active_center_count_p95,active_center_count_maximum
1,300.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.546330312093282e-05,0.003415928222133297,0.018067353328259213,0.06324558190310489,0.0635669531728019,0.06419369447151903,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651477511328385,0.1288697971970498,0.12999817308885678,4.2564971933243714e-08,8.996527678015981e-06,6.517300165034241e-05,0.0,0.0,0.0,3.3648685433942795e-07,7.05662559613543e-05,0.0005138336020707878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
2,600.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,5.915805740124182e-05,0.002799398429891088,0.01297124393380127,0.06324555953780675,0.06350602593585149,0.06396829798654759,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651259266374004,0.12839369417091764,0.12930296018901016,1.5798664596593244e-08,1.1390838856859646e-05,3.262851163414462e-05,0.0,0.0,0.0,1.441091045247743e-07,8.909926740847736e-05,0.0002678336519044293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
3,900.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7.694905207418403e-05,0.0022765600224658473,0.008933353698438425,0.0632455359895531,0.06342888706505655,0.06379474241510838,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650789167414137,0.12792464004877682,0.128640210901603,4.1857511451264826e-08,1.3330274967682237e-05,4.415174104989768e-05,0.0,0.0,0.0,3.3450099867139426e-07,0.00010501678900496175,0.0003624260703072585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
4,1200.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,8.069205796153861e-05,0.0018046605192603925,0.005864741900102239,0.06324552274525089,0.06338440624245943,0.06361292098283675,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1265108833023748,0.12758023766038926,0.12805021186713939,1.0636650263423081e-09,8.129026278267293e-06,4.529805494496389e-05,0.0,0.0,0.0,1.0301508956286407e-08,6.418689653111477e-05,0.0003718535898700919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
5,1500.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,6.691491876468811e-05,0.0014304643017845691,0.003902514151438463,0.06324559155636288,0.06335707714215082,0.06353821448747698,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651186090476363,0.12734146729655674,0.1276672289317479,1.0443147404927088e-08,1.3392145412335844e-05,3.8770211397654315e-05,0.0,0.0,0.0,8.256032884983948e-08,0.00010568962618908134,0.0003107055547144556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
6,1800.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.415312782523855e-05,0.001102417445547853,0.0032063132924178388,0.06324558756054258,0.06335689052192983,0.06350194747308303,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1265137234689514,0.12716075035303895,0.12738424637304407,2.2318759167399636e-08,1.2935491865786579e-05,0.0001064907963383748,0.0,0.0,0.0,1.7640225260746856e-07,0.00010211879028157014,0.0008415796247462588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
7,2100.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,6.412101752585386e-05,0.00090358456167339,0.00280833102756383,0.06324561876092893,0.06335793529914954,0.06347173808351615,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651457098804195,0.12702083448076262,0.12717537900407266,2.8463543928586907e-08,1.7302164278896748e-05,0.0001734190361219338,0.0,0.0,0.0,2.249968910406629e-07,0.00013638814529980158,0.0013700289882987151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
8,2400.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.045473153514695e-05,0.0013066662489010688,0.004888375848958177,0.06324572737377862,0.06335939014543032,0.06347572907813044,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651580778923266,0.12691347406602987,0.12704634456013125,4.041723931760368e-08,1.2966020357858209e-05,8.113703535202959e-05,0.0,0.0,0.0,3.1980047067068725e-07,0.000102344331025269,0.0006402431125204744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
9,2700.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,8.127617139634185e-05,0.0017561793546956492,0.008892571360279966,0.06324562506279285,0.0633763804913606,0.06349053938694427,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1265143634299196,0.12683626029967102,0.12698227009180713,3.8287407487582245e-08,5.895172775587246e-06,5.533523777559067e-05,0.0,0.0,0.0,3.026186924087654e-07,4.8401103423199454e-05,0.00043625901994269575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
10,3000.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7.997480544436374e-05,0.0019189759739687002,0.014749228723822588,0.06324559662044212,0.06340550640283985,0.06352205815184735,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651477553048057,0.12683125630162861,0.12705040558487413,2.0127224722696846e-08,3.0542166110541137e-06,6.471774056436548e-05,0.0,0.0,0.0,1.5980536161666413e-07,2.4075930595151817e-05,0.0005318187501934866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
11,3300.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.764129329674186e-05,0.002090437297196706,0.020750936844792553,0.06324558921949544,0.06343139474936832,0.06355451278957201,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651447880027905,0.12686795025214878,0.12711409965004622,1.2933560106010072e-08,2.156974260665612e-06,3.853079697462471e-05,0.0,0.0,0.0,1.0598902826833523e-07,1.7020964223811685e-05,0.00031663552325170917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
