metric,mean,q05,median,q95,criterion,sample_fraction
inertia,0.001662126727179624,0.00035135955653331497,0.0013126854114672887,0.004212103499224797,,
coriolis,0.0070483359362570695,0.0022585329701576007,0.006296085856184526,0.014149174163394038,,
drag,0.19683094721684027,0.0072188363447501635,0.1307627809368303,0.6150062337012066,,
vp_internal,0.0030708299415691965,5.555579469232918e-08,3.650920245802681e-05,0.016116495590568398,,
wind,0.12649110710606673,0.06957094431016998,0.1264919366682502,0.18341028987912059,,
eta_inertia,0.006703095066906991,0.0009235771191367025,0.004629993412449785,0.01933301243457209,,
eta_vp,0.012794864253623224,1.9524788274961892e-07,0.00012731709864459754,0.063870433145692,,
,,,,,fraction(eta_inertia < 0.01),0.7977
,,,,,fraction(eta_inertia < 0.05),0.9988
,,,,,fraction(eta_inertia < 0.10),1.0
,,,,,fraction(eta_vp < 0.01),0.8326
,,,,,fraction(eta_vp < 0.05),0.93845
