step,time_seconds,time_hours,F_I_abs_median,F_I_abs_p95,F_I_abs_maximum,F_C_abs_median,F_C_abs_p95,F_C_abs_maximum,F_sigma_abs_median,F_sigma_abs_p95,F_sigma_abs_maximum,F_D_abs_median,F_D_abs_p95,F_D_abs_maximum,F_W_abs_median,F_W_abs_p95,F_W_abs_maximum,combined_missing_abs_median,combined_missing_abs_p95,combined_missing_abs_maximum,undirected_IC_abs_sum_median,undirected_IC_abs_sum_p95,undirected_IC_abs_sum_maximum,retained_abs_sum_median,retained_abs_sum_p95,retained_abs_sum_maximum,retained_net_abs_median,retained_net_abs_p95,retained_net_abs_maximum,r_IC_corrected_median,r_IC_corrected_p95,r_IC_corrected_maximum,r_Sigma_median,r_Sigma_p95,r_Sigma_maximum,r_net_corrected_median,r_net_corrected_p95,r_net_corrected_maximum,deprecated_FI_plus_FC_abs_median,deprecated_FI_plus_FC_abs_p95,deprecated_FI_plus_FC_abs_maximum,r_IC_deprecated_FI_plus_FC_median,r_IC_deprecated_FI_plus_FC_p95,r_IC_deprecated_FI_plus_FC_maximum,r_net_deprecated_FI_plus_FC_median,r_net_deprecated_FI_plus_FC_p95,r_net_deprecated_FI_plus_FC_maximum,active_center_count_median,active_center_count_p95,active_center_count_maximum
1,300.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.6702689982156486e-05,0.003409798437335268,0.04002132844697105,0.12649112208911356,0.12679114803430933,0.12746416380110093,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25301525914908385,0.25557208859239033,0.25646882405051685,1.8171303976284136e-07,5.668289933377735e-05,0.0010911747023668382,0.0,0.0,0.0,7.200193350769953e-07,0.00022312463720792328,0.004295512074418758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
2,600.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,5.477906946289906e-05,0.0010008354374881174,0.00797081466761726,0.12649110727076207,0.12666499638628376,0.12691258038486847,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25301999193369545,0.25353165305293246,0.25385878331953304,1.1784913215020288e-06,6.371179706350442e-05,0.0005764928808359906,0.0,0.0,0.0,4.658394113462516e-06,0.0002522202084777356,0.0023640934574178096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
3,900.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.959161297717025e-05,0.0005096097197844398,0.06545837873876188,0.1264911207009706,0.12678952618980577,0.12704983129210318,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25300984574019564,0.2536783255311589,0.25506279448210556,2.6878917755184037e-07,3.420464153067394e-05,0.0013857848744090085,0.0,0.0,0.0,1.066246090514342e-06,0.00013547725332937633,0.00568437854488315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
4,1200.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.8782569731636065e-05,0.00045880819418786214,0.07340261426215126,0.126491209058995,0.12679865898081574,0.12702655296355603,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299925088371494,0.25367662255734985,0.2581179187085698,6.248032671278348e-08,3.5975380608905936e-06,0.0003272289096880066,0.0,0.0,0.0,2.467601641653902e-07,1.4336618532923386e-05,0.0025924069652964545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
5,1500.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.160314529395991e-05,0.0005002388740166353,0.12157162413351293,0.12649194036569011,0.12678505394278272,0.1269965790492848,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529978833623464,0.253638065101719,0.25757390273300274,1.0489193078715843e-08,4.035869361645249e-07,0.00015962460663019695,0.0,0.0,0.0,4.1454183309459885e-08,1.5941553880653506e-06,0.0010802740535087675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
6,1800.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.8150540120367125e-05,0.0005377542201446747,0.12542704971870014,0.1264918233023542,0.12679480191799913,0.12701042262894663,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299819212204616,0.25369005623177526,0.2573773481964917,1.8289416998914464e-07,2.7954426197178366e-05,0.00678642501769976,0.0,0.0,0.0,7.229049112185049e-07,0.00011263141980347997,0.02960823019100085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
7,2100.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3.838771258883319e-05,0.0011858024717027846,0.12685083742016856,0.12649149532263354,0.12679093905885055,0.12698270516152463,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529977227415992,0.2536757774980465,0.264519287465688,1.1997055075387448e-07,1.2022545104093446e-05,0.00038144249210612734,0.0,0.0,0.0,4.7395757211942516e-07,4.8800926117312505e-05,0.0015679104384611923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
8,2400.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3.424029335246368e-05,0.001878230725593174,0.1270272890243261,0.12649113123034605,0.12677727181204757,0.12697963955231464,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299595599117813,0.2537162645561795,0.2626810848759318,1.2354308812512057e-07,7.43577321204682e-06,0.002928277897509691,0.0,0.0,0.0,4.881485328917082e-07,2.953786546019065e-05,0.012624220732117941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
9,2700.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.388293886367945e-05,0.0022341574763874448,0.12701799778374362,0.12649070974262583,0.12675782933772722,0.12699560714621588,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299205217756504,0.25368739353094616,0.261552985692334,9.975770635277966e-10,1.3108061378284649e-06,0.0005809471807932435,0.0,0.0,0.0,3.953325257173091e-09,5.235900696299766e-06,0.0022910217807832027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
10,3000.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3.504697821671002e-05,0.004930109250357484,0.12610155528048628,0.12648996623265807,0.12675285937885514,0.12700989920623781,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.252992293476625,0.25370904409988115,0.2691469490621273,1.3634343728040529e-09,2.3921939383241197e-06,0.0007671560833998454,0.0,0.0,0.0,5.403081178845082e-09,9.420149802080054e-06,0.004975372045224254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
