step,time_seconds,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,mean_thickness_m,center_thickness_m,minimum_thickness_m,maximum_thickness_m,ice_volume_m3,ice_volume_relative_error,maximum_ice_speed_mps,maximum_ocean_speed_mps,mean_sea_surface_m,ice_residual,gmres_residual,coupling_residual,water_residual,water_residual_xi,water_residual_u,water_residual_v,helmholtz_residual,drag_closure_error,drag_face_l1_closure_error,drag_object_reused,maximum_inactive_drag,thickness_cfl_macro,thickness_substeps
0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.20018502388345544,0.7998149761165445,100000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,0.0,,0
1,300.0,0.08333333333333333,0.0,0.0,0.0,0.5,0.5014659539847657,0.2016697189443575,0.7962569320013848,100000000.0,0.0,0.15853733259567795,0.0008618488817709312,-1.2279066652354232e-17,0.0003508599211787811,1.6444572815568085e-09,8.395774742901453e-06,4.166181766935159e-09,2.1297404410669353e-13,2.442065287008811e-10,4.166181766935159e-09,5.2707564561157095e-14,0.0,0.0,True,0.0,0.3412682157043592,1
2,600.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.5029365523793583,0.20198210861159932,0.8292606458181195,100000000.0,0.0,0.15825117637331296,0.0010916221133567513,-3.383959779057477e-17,0.0003217644190928607,9.195009181019223e-09,8.08485798984457e-06,9.165400862123081e-10,3.93835334968482e-13,1.0160542145046436e-10,9.165400862123081e-10,1.035367954178202e-13,0.0,0.0,True,0.0,0.3416357543573122,1
3,900.0,0.25,0.0,0.0,0.0,0.5,0.5043579753188925,0.14619262756299514,0.8352304524096117,100000000.0,0.0,0.1579186424837144,0.0007996659067991058,-6.001865671123596e-17,0.0003194012353589025,6.904664360872897e-10,7.942457440564433e-06,1.33450619767105e-09,7.802790279724535e-13,1.0414822774618717e-10,1.33450619767105e-09,1.4760880690837948e-13,0.0,0.0,True,0.0,0.3411593708180089,1
4,1200.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.5057630085347437,0.09670815837127275,0.8351506687554994,100000000.0,0.0,0.1583522876154553,0.00040424735241235813,-8.715250743307479e-17,7.046156202377519e-05,5.558073182430963e-10,9.434491791097717e-06,2.2581866044788085e-09,2.4013719078865615e-12,5.383785079246242e-11,2.2581866044788085e-09,1.467058469272797e-13,0.0,0.0,True,0.0,0.3404240473138192,1
5,1500.0,0.4166666666666667,0.0,0.0,0.0,0.5,0.5071661011132903,0.06397470767872085,0.8351032722427325,100000000.0,0.0,0.15739853822604105,0.0007548411459950269,-1.1317613513028847e-16,6.0287267744329915e-05,1.660459297374541e-09,7.907886722182655e-06,1.898719123317905e-09,4.723942008257283e-12,4.0361256586624236e-11,1.898719123317905e-09,1.4310635119361213e-13,0.0,0.0,True,0.0,0.3402443196679929,1
6,1800.0,0.5,0.0,0.0,0.0,0.5,0.5085664040647783,0.04232121310196542,0.8350757870264306,100000000.0,0.0,0.15743825376876341,0.001127061197529199,-1.3715695246219184e-16,0.0009974532298937873,8.683485768737931e-09,9.722096423310083e-06,8.957929388922199e-10,1.7266366710903049e-12,2.6588822751526842e-11,8.957929388922199e-10,1.3277075511420774e-13,0.0,0.0,True,0.0,0.3399334388508972,1
7,2100.0,0.5833333333333334,0.0,0.0,0.0,0.5,0.5099638845944547,0.027996733433759583,0.8351718168868779,100000000.0,0.0,0.15836576447329015,0.0014796935330565809,-1.596500709410975e-16,0.00014983880375623131,6.340460750749299e-10,7.104387251122885e-06,2.3493638153466544e-09,1.5453768819097638e-12,7.231881623004778e-10,2.3493638153466544e-09,1.178023873891655e-13,0.0,0.0,True,0.0,0.3399340932612708,1
8,2400.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.5113605814637289,0.018520499029168164,0.8352108209603306,100000000.0,0.0,0.15778274140043735,0.001858818144604924,-1.80944148553408e-16,0.0003346679502529336,5.756097529860666e-10,7.420625953564372e-06,6.019335316171248e-10,2.442328531485554e-12,1.8490242538422084e-11,6.019335316171248e-10,1.1093700289969774e-13,0.0,0.0,True,0.0,0.33994115450482354,1
9,2700.0,0.75,0.0,0.0,0.0,0.5,0.512755883914876,0.012251616385152883,0.8352757188195407,100000000.0,0.0,0.1587197272356592,0.002225338163263629,-2.0179413695586846e-16,0.0001433561428193279,1.9446979975575903e-09,9.648757748734056e-06,7.045468959291961e-10,1.2843000222332246e-11,2.181877204243008e-11,7.045468959291961e-10,1.1024088158996843e-13,0.0,0.0,True,0.0,0.34001328900603633,1
