step,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,retry_stage,retry_attempts,coupling_iterations,picard_iterations,gmres_iterations,thickness_substeps,all_attempts_coupling_iterations,all_attempts_picard_iterations,all_attempts_gmres_iterations
1,0.08333333333333333,0.0,0.0,0.0,standard,1,10,68,1964,1,10,68,1964
2,0.16666666666666666,0.0,0.0,0.0,standard,1,4,150,885,1,4,150,885
3,0.25,0.0,0.0,0.0,standard,1,7,107,1696,1,7,107,1696
4,0.3333333333333333,0.0,0.0,0.0,standard,1,13,103,5203,1,13,103,5203
5,0.4166666666666667,0.0,0.0,0.0,reset_aitken,2,25,96,7081,1,125,259,18915
6,0.5,0.0,0.0,0.0,standard,1,5,81,4443,1,5,81,4443
7,0.5833333333333334,0.0,0.0,0.0,standard,1,13,50,2869,1,13,50,2869
8,0.6666666666666666,0.0,0.0,0.0,standard,1,11,111,6218,1,11,111,6218
9,0.75,0.0,0.0,0.0,standard,1,27,108,8281,1,27,108,8281
10,0.8333333333333334,0.0,0.0,0.0,standard,1,32,110,5665,1,32,110,5665
11,0.9166666666666666,0.0,0.0,0.0,standard,1,11,106,5297,1,11,106,5297
12,1.0,0.0,0.0,0.0,standard,1,9,129,5482,1,9,129,5482
13,1.0833333333333333,0.0,0.0,0.0,standard,1,37,165,7020,1,37,165,7020
14,1.1666666666666667,0.0,0.0,0.0,standard,1,10,139,5362,1,10,139,5362
15,1.25,0.0,0.0,0.0,standard,1,40,186,5401,1,40,186,5401
16,1.3333333333333333,0.0,0.0,0.0,standard,1,7,90,3175,1,7,90,3175
17,1.4166666666666667,0.0,0.0,0.0,standard,1,72,189,5270,1,72,189,5270
18,1.5,0.0,0.0,0.0,standard,1,12,130,3813,1,12,130,3813
19,1.5833333333333333,0.0,0.0,0.0,standard,1,7,135,3323,1,7,135,3323
20,1.6666666666666667,0.0,0.0,0.0,standard,1,36,183,4594,1,36,183,4594
21,1.75,0.0,0.0,0.0,standard,1,15,146,4275,1,15,146,4275
22,1.8333333333333333,0.0,0.0,0.0,standard,1,41,198,4622,1,41,198,4622
23,1.9166666666666667,0.0,0.0,0.0,reset_aitken,2,5,261,5818,1,5,361,8306
24,2.0,0.0,0.0,0.0,reset_aitken,2,45,254,3340,1,45,354,4731
25,2.0833333333333335,0.0,0.0,0.0,reset_aitken,2,9,220,1056,1,9,320,1543
26,2.1666666666666665,0.0,0.0,0.0,reset_aitken,2,4,270,1132,1,4,370,1588
27,2.25,0.0,0.0,0.0,standard,1,30,174,730,1,30,174,730
28,2.3333333333333335,0.0,0.0,0.0,standard,1,17,151,697,1,17,151,697
29,2.4166666666666665,0.0,0.0,0.0,standard,1,18,130,637,1,18,130,637
30,2.5,0.0,0.0,0.0,reset_aitken,2,5,234,1173,1,5,334,1701
31,2.5833333333333335,0.0,0.0,0.0,reset_aitken,2,5,247,1215,1,5,347,1720
32,2.6666666666666665,0.0,0.0,0.0,reset_aitken,2,5,252,1119,1,5,352,1585
33,2.75,0.0,0.0,0.0,reset_aitken,2,4,263,1135,1,4,363,1613
34,2.8333333333333335,0.0,0.0,0.0,reset_aitken,2,5,214,1036,1,5,314,1535
35,2.9166666666666665,0.0,0.0,0.0,reset_aitken,2,54,343,1705,1,54,443,2252
36,3.0,0.0,0.0,0.0,reset_aitken,2,4,288,1248,1,4,388,1732
37,3.0833333333333335,0.0,0.0,0.0,reset_aitken,2,5,222,1009,1,5,322,1475
38,3.1666666666666665,0.0,0.0,0.0,reset_aitken,2,64,346,1731,1,64,446,2310
39,3.25,0.0,0.0,0.0,reset_aitken,2,5,323,1421,1,5,423,1882
40,3.3333333333333335,0.0,0.0,0.0,reset_aitken,2,4,302,1320,1,4,402,1781
41,3.4166666666666665,0.0,0.0,0.0,reset_aitken,2,53,378,1934,1,53,478,2471
