step,time_hours,attempt_index,stage,accepted,converged,message,failure_reason,preconditioner,outer_aitken_initial,coupling_iterations,picard_iterations,gmres_iterations,ice_residual,gmres_residual,coupling_residual,water_residual,helmholtz_residual,attempt_total_seconds,outer_coupling_seconds,coupling_overhead_seconds,ice_solve_seconds,matrix_assembly_seconds,preconditioner_build_seconds,gmres_seconds,ice_residual_evaluation_seconds,ocean_solve_seconds,thickness_transport_seconds,force_budget_seconds,postprocess_seconds,ilu_builds,ilu_reuses,ilu_rebuilds,preconditioner_fallbacks,initial_guess_strategy,initial_guess_fallback_reason,outer_acceleration,acceleration_fallbacks,acceleration_history_clears,acceleration_clear_reasons,cache_invalidation_reason,active_center_count_before,active_center_count_after,active_center_mask_changes,active_u_mask_changes,active_v_mask_changes
1,0.08333333333333333,1,standard,True,True,converged,,ilu,0.5,12,45,166,6.797705523207648e-05,1.939521022839053e-10,2.6366652589214614e-06,4.126569395181527e-09,1.1117678284064567e-14,1.6932859999942593,1.6750301999854855,0.012701600091531873,1.5409064998966642,0.7329422001494095,0.3655806998722255,0.06967669993173331,0.353133000084199,0.12142209999728948,0.00023700000019744039,0.016960699984338135,0.00020650000078603625,44,1,32,0,previous_accepted_state,insufficient_accepted_history,protected_anderson,4,3,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
2,0.16666666666666666,1,standard,True,True,converged,,ilu,0.5,13,31,117,6.710683479612005e-05,1.289799735773969e-10,6.002234039434344e-06,9.147341472586706e-10,2.1180871779878767e-14,1.1494008000008762,1.1362659000442363,0.012718999874778092,1.014390700031072,0.47550499998033047,0.23815889976685867,0.047142600058577955,0.2383880999404937,0.10915620013838634,0.00022230000467970967,0.011519199993927032,9.589997353032231e-05,31,0,18,0,two_state_linear_predictor,,protected_anderson,5,4,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
3,0.25,1,standard,True,True,converged,,ilu,0.5,13,27,96,8.109326808985632e-05,3.444299676243733e-10,5.9048742977524255e-06,1.2819277887122678e-09,2.51299240254434e-14,0.9711167000350542,0.9597842000075616,0.014984600071329623,0.8366611999226734,0.41282109991880134,0.16599040006985888,0.037746200046967715,0.2081925002275966,0.10813840001355857,0.00018350000027567148,0.010287999990396202,9.270000737160444e-05,22,5,9,0,two_state_linear_predictor,,protected_anderson,3,2,coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
4,0.3333333333333333,1,standard,True,True,converged,,ilu,0.5,21,53,175,8.05314626093952e-05,2.6599587828554194e-10,9.990954815447799e-06,2.25499776991394e-09,2.764223378341708e-14,1.8825039000366814,1.8734454000368714,0.02736809995258227,1.6516176000004634,0.809249899990391,0.32943719992181286,0.07316410035127774,0.4157749000005424,0.19445970008382574,0.00011939997784793377,0.008184700040146708,8.630001684650779e-05,41,12,20,0,two_state_linear_predictor,,protected_anderson,8,7,anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard|anderson_step_guard,no_cache_phase1,800,800,0,0,0
5,0.4166666666666667,1,standard,True,True,converged,,ilu,0.5,16,27,94,7.3688909243564e-05,2.1243142900197272e-10,7.824602901014233e-06,1.9133415787706962e-09,2.7005763470557482e-14,1.125937199976761,1.1143207999994047,0.02395449997857213,0.943841699976474,0.43156080006156117,0.2124634999781847,0.04482830018969253,0.23913089995039627,0.14652460004435852,0.00013729999773204327,0.010591200029011816,0.00011639995500445366,26,1,10,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,800,800,0,0,0
6,0.5,1,standard,True,True,converged,,ilu,0.5,11,22,88,0.00012763900636276026,4.265930650542373e-10,8.275656337957387e-06,8.98532349431248e-10,2.4636423893391908e-14,0.8476006999844685,0.8370133999851532,0.013282999920193106,0.7248288000118919,0.3522432000609115,0.1303825001232326,0.0399735999526456,0.19042289996286854,0.09890160005306825,0.0001275999820791185,0.009564900014083833,9.320001117885113e-05,16,6,5,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
7,0.5833333333333334,1,standard,True,True,converged,,ilu,0.5,12,17,71,0.00018915369806685466,7.41727638179669e-10,8.849399323109741e-06,1.1454270164636832e-09,2.5407418821605427e-14,0.6956647000042722,0.6845196000067517,0.011131200066301972,0.5674171999562532,0.27952670003287494,0.10513020015787333,0.030205899965949357,0.14284810004755855,0.10597119998419657,0.0001309000072069466,0.010223400022368878,9.180000051856041e-05,14,3,2,0,two_state_linear_predictor,,protected_anderson,4,3,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
8,0.6666666666666666,1,standard,True,True,converged,,ilu,0.5,10,13,51,9.531231009367457e-05,5.233266274683866e-10,8.60160259312896e-06,6.220010157999174e-10,2.1995386212719182e-14,0.5225491999881342,0.5109809000277892,0.010879399895202368,0.41490820003673434,0.18949389993213117,0.09352150000631809,0.022747500042896718,0.10160489991540089,0.08519330009585246,0.00023639999562874436,0.010279999987687916,0.00011089997133240104,12,1,2,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
9,0.75,1,standard,True,True,converged,,ilu,0.5,9,12,40,7.42344686231267e-05,7.417915121039828e-09,9.030435173452537e-06,7.266084900736018e-10,2.1864498170504673e-14,0.5112780999625102,0.5014669999945909,0.009814499935600907,0.41779060004046187,0.19354199996450916,0.10190689982846379,0.018463500018697232,0.0964959998964332,0.0738619000185281,0.00015549996169283986,0.008703999978024513,8.999998681247234e-05,12,0,3,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,800,800,0,0,0
10,0.8333333333333334,1,standard,True,True,converged,,ilu,0.5,10,12,41,6.271531494382799e-05,6.471616476918268e-09,8.882262898374913e-06,9.401308097004407e-09,2.2571551821306082e-14,0.4919436000054702,0.4818301000050269,0.010763600061181933,0.38961170002585277,0.18182830000296235,0.08580379991326481,0.01735229999758303,0.0969090000144206,0.0814547999179922,0.00013230001786723733,0.009205699956510216,9.169999975711107e-05,11,1,1,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
