step,time_seconds,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,mean_thickness_m,center_thickness_m,minimum_thickness_m,maximum_thickness_m,ice_volume_m3,ice_volume_relative_error,maximum_ice_speed_mps,maximum_ocean_speed_mps,mean_sea_surface_m,ice_residual,gmres_residual,coupling_residual,water_residual,water_residual_xi,water_residual_u,water_residual_v,helmholtz_residual,drag_closure_error,drag_face_l1_closure_error,drag_object_reused,maximum_inactive_drag,thickness_cfl_macro,thickness_substeps
0,0.0,0.0,0.0,0.0,0.0,0.5,0.5000000000000001,0.20115537602065264,0.7988446239793474,100000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,0.0,,0
1,300.0,0.08333333333333333,0.0,0.0,0.0,0.5,0.5006342161572199,0.2036735027579045,0.791006807407729,100000000.0,0.0,0.06503967061490906,0.0004354487476141303,7.025630077706069e-19,6.797705523207648e-05,1.939521022839053e-10,2.6366652589214614e-06,4.126569395181527e-09,2.938859634994798e-14,2.4149474591660747e-10,4.126569395181527e-09,1.1117678284064567e-14,0.0,0.0,True,0.0,0.055790580046509705,1
2,600.0,0.16666666666666666,0.0,0.0,0.0,0.5000000000000001,0.5012699164219694,0.20619584797338789,0.7905557780508948,100000000.00000001,1.4901161193847657e-16,0.06503182349483827,0.0005599119331834433,1.8735013540549518e-18,6.710683479612005e-05,1.289799735773969e-10,6.002234039434344e-06,9.147341472586706e-10,5.412111557914755e-14,1.0071184500889297e-10,9.147341472586706e-10,2.1180871779878767e-14,0.0,0.0,True,0.0,0.05585505452839466,1
3,900.0,0.25,0.0,0.0,0.0,0.5000000000000001,0.5019068788811134,0.20872262306761627,0.7901308493093089,100000000.00000001,1.4901161193847657e-16,0.06481194427872741,0.00042471828069977276,3.0704605524789486e-18,8.109326808985632e-05,3.444299676243733e-10,5.9048742977524255e-06,1.2819277887122678e-09,1.1111238173391079e-13,1.0352948529373875e-10,1.2819277887122678e-09,2.51299240254434e-14,0.0,0.0,True,0.0,0.05575941835829604,1
4,1200.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.5025452796405919,0.20932604706574606,0.7897009445859903,100000000.0,0.0,0.06449314073605299,0.0002350206713260759,4.250072516143178e-18,8.05314626093952e-05,2.6599587828554194e-10,9.990954815447799e-06,2.25499776991394e-09,3.3898089027226305e-13,5.2070371117717807e-11,2.25499776991394e-09,2.764223378341708e-14,0.0,0.0,True,0.0,0.055613555119948234,1
5,1500.0,0.4166666666666667,0.0,0.0,0.0,0.5,0.5031851366792766,0.2095362469731122,0.7892198640539381,100000000.0,0.0,0.06426044252866145,0.00047067409843519443,5.1521287236511174e-18,7.3688909243564e-05,2.1243142900197272e-10,7.824602901014233e-06,1.9133415787706962e-09,7.356904815926012e-13,3.520504459577084e-11,1.9133415787706962e-09,2.7005763470557482e-14,0.0,0.0,True,0.0,0.05552162750948891,1
6,1800.0,0.5,0.0,0.0,0.0,0.5,0.5038252157692138,0.20974961953075802,0.7886346634315387,100000000.0,0.0,0.06417208431105004,0.0005941962624370828,6.245004513516506e-18,0.00012763900636276026,4.265930650542373e-10,8.275656337957387e-06,8.98532349431248e-10,2.355621853636899e-13,2.0386750732194288e-11,8.98532349431248e-10,2.4636423893391908e-14,0.0,0.0,True,0.0,0.055512473836309736,1
7,2100.0,0.5833333333333334,0.0,0.0,0.0,0.5000000000000001,0.504462144741741,0.20996614387837367,0.7879425765072565,100000000.00000001,1.4901161193847657e-16,0.06416981066390866,0.0006121256173977997,7.303185833862358e-18,0.00018915369806685466,7.41727638179669e-10,8.849399323109741e-06,1.1454270164636832e-09,2.240481525994597e-13,8.022861634739395e-10,1.1454270164636832e-09,2.5407418821605427e-14,0.0,0.0,True,0.0,0.05551192441269136,1
8,2400.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.50508792167654,0.21018582694352497,0.7871479437823973,100000000.0,0.0,0.0641922564955162,0.0005684333507281708,8.36136715420821e-18,9.531231009367457e-05,5.233266274683866e-10,8.60160259312896e-06,6.220010157999174e-10,3.319758508487903e-13,1.4385193772554416e-11,6.220010157999174e-10,2.1995386212719182e-14,0.0,0.0,True,0.0,0.055534073147635976,1
9,2700.0,0.75,0.0,0.0,0.0,0.5,0.5057013834089477,0.21040869801612883,0.7862545012284204,100000000.0,0.0,0.06424018402879755,0.0005127884323804766,9.593020822151744e-18,7.42344686231267e-05,7.417915121039828e-09,9.030435173452537e-06,7.266084900736018e-10,1.9454040305868438e-12,1.65305350659133e-11,7.266084900736018e-10,2.1864498170504673e-14,0.0,0.0,True,0.0,0.05557703791009024,1
10,3000.0,0.8333333333333334,0.0,0.0,0.0,0.5,0.5063044105544249,0.21063476960962518,0.7852654467784034,100000000.0,0.0,0.06427526258450168,0.00047905611389739775,1.0581813203458523e-17,6.271531494382799e-05,6.471616476918268e-09,8.882262898374913e-06,9.401308097004407e-09,8.647742739604555e-13,6.663170220255137e-09,9.401308097004407e-09,2.2571551821306082e-14,0.0,0.0,True,0.0,0.05565045649181014,1
11,3300.0,0.9166666666666666,0.0,0.0,0.0,0.5,0.5068987027269749,0.21086402846804528,0.7841836965230817,100000000.0,0.0,0.0643020989124945,0.00047850320726081465,1.1639994523804376e-17,4.1404316638139596e-05,2.9180493612522384e-09,5.231270249885327e-06,3.187239667919627e-09,6.395557906735451e-13,2.25353425196586e-09,3.187239667919627e-09,2.481720195206419e-14,0.0,0.0,True,0.0,0.05571995898146226,1
12,3600.0,1.0,0.0,0.0,0.0,0.5,0.507486001468291,0.21109644829080526,0.783011998142789,100000000.0,0.0,0.06430931977005254,0.0005044046205188949,1.2732870313669764e-17,3.931378609948531e-05,9.992503149711946e-09,6.30004902851703e-06,1.88256891477651e-09,8.331217910811611e-13,1.276683555252306e-09,1.88256891477651e-09,2.5460597327509144e-14,0.0,0.0,True,0.0,0.05577920189975316,1
13,3900.0,1.0833333333333333,0.0,0.0,0.0,0.5,0.5080676646815304,0.21133200490326862,0.7817529133491897,100000000.0,0.0,0.06430577792923559,0.0005418796394100835,1.3652273755937472e-17,3.249815105673773e-05,7.806541659348574e-09,5.320253501712757e-06,4.124721604818941e-09,1.842943423942391e-12,2.8357499620544822e-09,4.124721604818941e-09,2.4082727320144735e-14,0.0,0.0,True,0.0,0.0558101407149557,1
14,4200.0,1.1666666666666667,0.0,0.0,0.0,0.5,0.5086447929869846,0.21157068647723207,0.7804088635469157,100000000.0,0.0,0.06429994223062822,0.0005770476646346797,1.484923295436147e-17,3.102120026052123e-05,6.687437046949123e-09,6.9736532480270894e-06,3.8403398282647515e-09,1.123215446470174e-11,2.6588858218789967e-09,3.8403398282647515e-09,2.6683532582904966e-14,0.0,0.0,True,0.0,0.05578389112024783,1
15,4500.0,1.25,0.0,0.0,0.0,0.5,0.5092185002966729,0.2118124926260969,0.7818534524078256,100000000.0,0.0,0.06429794445418695,0.0006021780772173061,1.5890067039947553e-17,6.603694501402213e-05,6.4134927644371985e-09,7.360044705934682e-06,2.1437785575951924e-09,2.390345026976372e-12,1.4951432504931104e-09,2.1437785575951924e-09,2.4363903569945808e-14,0.0,0.0,True,0.0,0.05564270164421958,1
16,4800.0,1.3333333333333333,0.0,0.0,0.0,0.5000000000000001,0.5097898209853173,0.2061053083525349,0.7849575866225845,100000000.00000001,1.4901161193847657e-16,0.06430133739365858,0.0006163624004751609,1.7121720707891085e-17,4.26964151215049e-05,3.1821857676246236e-09,4.761716616049825e-06,5.96698785210655e-10,2.0035387680320925e-12,1.6400808147995008e-10,5.96698785210655e-10,2.402349205188676e-14,0.0,0.0,True,0.0,0.05554560429079894,1
17,5100.0,1.4166666666666667,0.0,0.0,0.0,0.5,0.5103595095774371,0.194713553420877,0.7874622663240295,100000000.0,0.0,0.06430948868893041,0.000623219539081086,1.807581861967833e-17,1.6442948037363517e-05,2.2807175637411694e-09,3.8675542264506205e-06,1.3835602036415688e-09,3.011731742636044e-12,7.42990923922731e-10,1.3835602036415688e-09,2.2915400259572456e-14,0.0,0.0,True,0.0,0.05554921388572044,1
18,5400.0,1.5,0.0,0.0,0.0,0.5,0.5109279760229645,0.18395127298745317,0.7894695452317424,100000000.0,0.0,0.06431781404870114,0.0006277040981868837,1.923808334858279e-17,5.938532375430836e-06,2.235645128129577e-09,3.738150905647272e-06,1.9409440787869195e-09,8.386293429550312e-12,1.0176022749261801e-09,1.9409440787869195e-09,2.5875914667005984e-14,0.0,0.0,True,0.0,0.055554349177671214,1
19,5700.0,1.5833333333333333,0.0,0.0,0.0,0.5,0.51149543694497,0.17378372533870823,0.7909575494273248,100000000.0,0.0,0.06432380080611007,0.0006490078796221155,2.0383000842727483e-17,2.756525146368302e-05,1.3420852991771352e-09,9.704364436979723e-06,2.023240869082201e-09,1.0873534396486762e-11,8.000759847308643e-10,2.023240869082201e-09,2.2185454448414406e-14,0.0,0.0,True,0.0,0.055563539558134076,1
20,6000.0,1.6666666666666667,0.0,0.0,0.0,0.5,0.5120620169890795,0.1641780927717408,0.7918725043994982,100000000.0,0.0,0.06438397789087438,0.0007873249308971621,2.151057110211241e-17,4.503651530224294e-05,1.7303838767497194e-09,7.939741254551868e-06,2.0012893773733653e-09,6.1709347995780666e-12,3.718823483542894e-10,2.0012893773733653e-09,2.299265550109505e-14,0.0,0.0,True,0.0,0.055579318698366825,1
21,6300.0,1.75,0.0,0.0,0.0,0.5,0.5126277982535175,0.15510335914800474,0.7921441946676435,100000000.0,0.0,0.06447130740229785,0.0009296170842661285,2.256875242245826e-17,0.0002579022015207053,4.621674136756331e-09,5.783241105981422e-06,2.056975603760116e-09,7.32506631648374e-12,6.998008595327786e-11,2.056975603760116e-09,2.408943212230069e-14,0.0,0.0,True,0.0,0.05559419342084205,1
22,6600.0,1.8333333333333333,0.0,0.0,0.0,0.5,0.5131928409208046,0.14653020458448449,0.7922040103205796,100000000.0,0.0,0.06444395720874734,0.0010752950378600861,2.3574892038524808e-17,9.650449552990815e-06,1.8926524744582005e-09,1.5843402689582329e-06,2.1356089201283664e-09,1.2078055806157722e-11,2.497208144198543e-10,2.1356089201283664e-09,2.5207219498610188e-14,0.0,0.0,True,0.0,0.055608203232734715,1
23,6900.0,1.9166666666666667,0.0,0.0,0.0,0.5,0.513757191227544,0.13843091434539745,0.7925443710641313,100000000.0,0.0,0.06432036966982616,0.0012242261749234862,2.456368441983159e-17,0.0009416298775982702,5.615880823804607e-09,9.824057857931343e-06,2.1780564760635557e-09,3.8747020867540604e-11,2.7418221753408473e-10,2.1780564760635557e-09,2.418861557478099e-14,0.0,0.0,True,0.0,0.055619933322605196,1
24,7200.0,2.0,0.0,0.0,0.0,0.5,0.5143208697194228,0.13077929667786425,0.7940890089033469,100000000.0,0.0,0.0643552273425354,0.0013765275708373674,2.5777990853015352e-17,0.0002771390030353626,1.5568822993218958e-09,9.601742140140752e-06,2.208696752720414e-09,2.2303426977512026e-11,1.8035922300344123e-10,2.208696752720414e-09,2.3472155345955386e-14,0.0,0.0,True,0.0,0.05563038052455639,1
25,7500.0,2.0833333333333335,0.0,0.0,0.0,0.5,0.5148838764588144,0.12355060452626651,0.7954476798364342,100000000.0,0.0,0.06440008251189352,0.0015323832046619979,2.695760281667958e-17,1.423483198803629e-05,3.5624332885557307e-09,7.693980024513935e-06,2.2638114930633196e-09,1.8341439306419253e-11,7.919686495805694e-11,2.2638114930633196e-09,2.2739886988076384e-14,0.0,0.0,True,0.0,0.05564063466112883,1
26,7800.0,2.1666666666666665,0.0,0.0,0.0,0.5,0.5154462046628492,0.11672145991051529,0.7965733818381401,100000000.0,0.0,0.06444594521424037,0.0016929917366853165,2.80331313717852e-17,0.00014940202008712072,5.053329932774776e-09,9.615143189401095e-06,2.3353009969286448e-09,1.9345311121765252e-11,1.0313687245824914e-10,2.3353009969286448e-09,2.4444387282227292e-14,0.0,0.0,True,0.0,0.05565111562218311,1
27,8100.0,2.25,0.0,0.0,0.0,0.5,0.5160078402743611,0.11026977937306363,0.7975738590976866,100000000.0,0.0,0.06449357993027828,0.0018596239453507872,2.891784034453338e-17,0.00011980403494370245,1.9876698670470894e-09,8.353632682423551e-06,2.4001937851032234e-09,2.2459492364889246e-11,1.352311324388779e-10,2.4001937851032234e-09,2.307791857434139e-14,0.0,0.0,True,0.0,0.055661723465146126,1
28,8400.0,2.3333333333333335,0.0,0.0,0.0,0.5,0.5165687628672555,0.10417470185378398,0.8005137401173947,100000000.0,0.0,0.06454504407954151,0.002029110770219792,3.002806336915853e-17,3.9023324137794305e-05,2.705765377874804e-09,6.89345889888718e-06,2.452426384472536e-09,2.2992497171388104e-11,1.2564658053406494e-10,2.452426384472536e-09,2.3338714463121156e-14,0.0,0.0,True,0.0,0.055672196808401894,1
29,8700.0,2.4166666666666665,0.0,0.0,0.0,0.5,0.5171289474900306,0.0984165198241206,0.8034184521775207,100000000.0,0.0,0.06460333512937493,0.00219947789489397,3.1068897454744615e-17,0.00022016680585441352,1.6440815570528375e-09,8.758236160976447e-06,2.502189438065901e-09,2.0785343853044327e-11,9.949646752607612e-11,2.502189438065901e-09,2.3892303781501456e-14,0.0,0.0,True,0.0,0.05568213084227007,1
30,9000.0,2.5,0.0,0.0,0.0,0.5,0.5176883614942492,0.09297661444255513,0.806037354669312,100000000.0,0.0,0.06467272859278345,0.0023682287166915954,3.2057689836051396e-17,0.0003664192962260728,5.931596638292612e-09,9.05015331853289e-06,2.5595491875192757e-09,2.029890736643541e-11,8.58092313032423e-11,2.5595491875192757e-09,2.377861264586656e-14,0.0,0.0,True,0.0,0.055690816208801355,1
31,9300.0,2.5833333333333335,0.0,0.0,0.0,0.5,0.5182469779875432,0.08783739491310093,0.8082674796821053,100000000.0,0.0,0.06475529772467888,0.002539970256569905,3.3324037973514466e-17,0.00020921059424053315,1.7808386146770515e-09,7.142813832767672e-06,2.6271579801356576e-09,1.950647016991524e-11,8.699179503737736e-11,2.6271579801356576e-09,2.3964145892179742e-14,0.0,0.0,True,0.0,0.055701934502081975,1
32,9600.0,2.6666666666666665,0.0,0.0,0.0,0.5,0.5188047791505608,0.0829822417429243,0.8101304039235125,100000000.0,0.0,0.06484444629184119,0.00270950058168546,3.4312830354821246e-17,6.492188745979753e-05,1.1991585182489757e-09,6.2465333794114e-06,2.7015656070334634e-09,1.9058610090096592e-11,9.001545989018609e-11,2.7015656070334634e-09,2.4188486914593624e-14,0.0,0.0,True,0.0,0.05571387140397345,1
