step,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,retry_stage,retry_attempts,coupling_iterations,picard_iterations,gmres_iterations,thickness_substeps,all_attempts_coupling_iterations,all_attempts_picard_iterations,all_attempts_gmres_iterations
1,0.08333333333333333,0.0,0.0,0.0,standard,1,12,45,166,1,12,45,166
2,0.16666666666666666,0.0,0.0,0.0,standard,1,13,31,117,1,13,31,117
3,0.25,0.0,0.0,0.0,standard,1,13,27,96,1,13,27,96
4,0.3333333333333333,0.0,0.0,0.0,standard,1,21,53,175,1,21,53,175
5,0.4166666666666667,0.0,0.0,0.0,standard,1,16,27,94,1,16,27,94
6,0.5,0.0,0.0,0.0,standard,1,11,22,88,1,11,22,88
7,0.5833333333333334,0.0,0.0,0.0,standard,1,12,17,71,1,12,17,71
8,0.6666666666666666,0.0,0.0,0.0,standard,1,10,13,51,1,10,13,51
9,0.75,0.0,0.0,0.0,standard,1,9,12,40,1,9,12,40
10,0.8333333333333334,0.0,0.0,0.0,standard,1,10,12,41,1,10,12,41
11,0.9166666666666666,0.0,0.0,0.0,standard,1,12,12,38,1,12,12,38
12,1.0,0.0,0.0,0.0,standard,1,9,11,37,1,9,11,37
13,1.0833333333333333,0.0,0.0,0.0,standard,1,9,11,39,1,9,11,39
14,1.1666666666666667,0.0,0.0,0.0,standard,1,11,12,38,1,11,12,38
15,1.25,0.0,0.0,0.0,standard,1,10,13,43,1,10,13,43
16,1.3333333333333333,0.0,0.0,0.0,standard,1,11,16,50,1,11,16,50
17,1.4166666666666667,0.0,0.0,0.0,standard,1,11,16,50,1,11,16,50
18,1.5,0.0,0.0,0.0,standard,1,9,16,47,1,9,16,47
19,1.5833333333333333,0.0,0.0,0.0,standard,1,9,17,48,1,9,17,48
20,1.6666666666666667,0.0,0.0,0.0,standard,1,9,17,49,1,9,17,49
21,1.75,0.0,0.0,0.0,standard,1,8,15,45,1,8,15,45
22,1.8333333333333333,0.0,0.0,0.0,standard,1,9,32,94,1,9,32,94
23,1.9166666666666667,0.0,0.0,0.0,standard,1,4,57,159,1,4,57,159
24,2.0,0.0,0.0,0.0,standard,1,7,31,83,1,7,31,83
25,2.0833333333333335,0.0,0.0,0.0,standard,1,12,23,65,1,12,23,65
