step,time_hours,accepted_attempt_total_seconds,accepted_outer_coupling_seconds,accepted_coupling_overhead_seconds,accepted_ice_solve_seconds,accepted_matrix_assembly_seconds,accepted_preconditioner_build_seconds,accepted_gmres_seconds,accepted_ice_residual_evaluation_seconds,accepted_ocean_solve_seconds,accepted_thickness_transport_seconds,accepted_force_budget_seconds,accepted_postprocess_seconds,output_capture_seconds,all_attempts_total_seconds
1,0.08333333333333333,1.6932859999942593,1.6750301999854855,0.012701600091531873,1.5409064998966642,0.7329422001494095,0.3655806998722255,0.06967669993173331,0.353133000084199,0.12142209999728948,0.00023700000019744039,0.016960699984338135,0.00020650000078603625,0.0003963999915868044,1.6932859999942593
2,0.16666666666666666,1.1494008000008762,1.1362659000442363,0.012718999874778092,1.014390700031072,0.47550499998033047,0.23815889976685867,0.047142600058577955,0.2383880999404937,0.10915620013838634,0.00022230000467970967,0.011519199993927032,9.589997353032231e-05,0.00020329997641965747,1.1494008000008762
3,0.25,0.9711167000350542,0.9597842000075616,0.014984600071329623,0.8366611999226734,0.41282109991880134,0.16599040006985888,0.037746200046967715,0.2081925002275966,0.10813840001355857,0.00018350000027567148,0.010287999990396202,9.270000737160444e-05,0.0001954999752342701,0.9711167000350542
4,0.3333333333333333,1.8825039000366814,1.8734454000368714,0.02736809995258227,1.6516176000004634,0.809249899990391,0.32943719992181286,0.07316410035127774,0.4157749000005424,0.19445970008382574,0.00011939997784793377,0.008184700040146708,8.630001684650779e-05,0.000228899996727705,1.8825039000366814
5,0.4166666666666667,1.125937199976761,1.1143207999994047,0.02395449997857213,0.943841699976474,0.43156080006156117,0.2124634999781847,0.04482830018969253,0.23913089995039627,0.14652460004435852,0.00013729999773204327,0.010591200029011816,0.00011639995500445366,0.0003364000003784895,1.125937199976761
6,0.5,0.8476006999844685,0.8370133999851532,0.013282999920193106,0.7248288000118919,0.3522432000609115,0.1303825001232326,0.0399735999526456,0.19042289996286854,0.09890160005306825,0.0001275999820791185,0.009564900014083833,9.320001117885113e-05,0.00018199998885393143,0.8476006999844685
7,0.5833333333333334,0.6956647000042722,0.6845196000067517,0.011131200066301972,0.5674171999562532,0.27952670003287494,0.10513020015787333,0.030205899965949357,0.14284810004755855,0.10597119998419657,0.0001309000072069466,0.010223400022368878,9.180000051856041e-05,0.00018630002159625292,0.6956647000042722
8,0.6666666666666666,0.5225491999881342,0.5109809000277892,0.010879399895202368,0.41490820003673434,0.18949389993213117,0.09352150000631809,0.022747500042896718,0.10160489991540089,0.08519330009585246,0.00023639999562874436,0.010279999987687916,0.00011089997133240104,0.00018390000332146883,0.5225491999881342
9,0.75,0.5112780999625102,0.5014669999945909,0.009814499935600907,0.41779060004046187,0.19354199996450916,0.10190689982846379,0.018463500018697232,0.0964959998964332,0.0738619000185281,0.00015549996169283986,0.008703999978024513,8.999998681247234e-05,0.0001699999556876719,0.5112780999625102
10,0.8333333333333334,0.4919436000054702,0.4818301000050269,0.010763600061181933,0.38961170002585277,0.18182830000296235,0.08580379991326481,0.01735229999758303,0.0969090000144206,0.0814547999179922,0.00013230001786723733,0.009205699956510216,9.169999975711107e-05,0.00018269999418407679,0.4919436000054702
11,0.9166666666666666,0.5029119999962859,0.493750799971167,0.013426800083834678,0.39193130005151033,0.1987919999519363,0.08228089998010546,0.015467200137209147,0.08840540004894137,0.08839269983582199,0.00012169999536126852,0.008283300034236163,8.460000390186906e-05,0.00017670000670477748,0.5029119999962859
12,1.0,0.4015480999951251,0.3919700999977067,0.007939900213386863,0.3182418998912908,0.15346930001396686,0.06236529990565032,0.014898200053721666,0.08160640008281916,0.06578829989302903,0.00017960002878680825,0.008576799998991191,8.639995940029621e-05,0.00016469997353851795,0.4015480999951251
13,1.0833333333333333,0.4177081999951042,0.40793649997795,0.006673899886664003,0.33672500000102445,0.16699149989290163,0.06491650018142536,0.016806199972052127,0.08204000006662682,0.06453760009026155,0.00012610002886503935,0.008902699977625161,9.06999921426177e-05,0.0001708000199869275,0.4177081999951042
14,1.1666666666666667,0.4591636000550352,0.44827779999468476,0.009287199936807156,0.3623265998903662,0.18037630000617355,0.07797550002578646,0.01499229995533824,0.08237460005329922,0.0766640001675114,0.00016629998572170734,0.009866800042800605,8.85000335983932e-05,0.0002239999594166875,0.4591636000550352
15,1.25,0.48794180003460497,0.47282470000209287,0.00835029996233061,0.3875732999877073,0.1906838000868447,0.0771177998976782,0.01639379997504875,0.09661810018587857,0.07690110005205497,0.00022749998606741428,0.013703099975828081,9.710004087537527e-05,0.0001800000318326056,0.48794180003460497
16,1.3333333333333333,0.7999814999639057,0.785352100036107,0.01174950017593801,0.657641299883835,0.3268593001412228,0.12158129987074062,0.030942600045818835,0.16576920013176277,0.11596129997633398,0.00012499996228143573,0.01363810000475496,0.000145500001963228,0.00029719999292865396,0.7999814999639057
17,1.4166666666666667,0.5989119000150822,0.5851010999758728,0.009990400227252394,0.4783312998479232,0.2360070999711752,0.09545320004690439,0.01971620012773201,0.11839110002620146,0.09677939990069717,0.00018350000027567148,0.012448499968741089,0.00013409997336566448,0.0002706999657675624,0.5989119000150822
18,1.5,0.5406869999715127,0.5298138999496587,0.010033000144176185,0.4505855999304913,0.21374650014331564,0.08591769973281771,0.020129600074142218,0.1233306999783963,0.06919529987499118,0.00019450002582743764,0.009662299999035895,9.200000204145908e-05,0.00017529999604448676,0.5406869999715127
19,1.5833333333333333,0.5765462000272237,0.5641387000214309,0.005808699759654701,0.48922860011225566,0.2516578001668677,0.08619379985611886,0.019829300115816295,0.12430649989983067,0.06910140014952049,0.00011969998013228178,0.011355799972079694,0.0001629000180400908,0.0005322999786585569,0.5765462000272237
20,1.6666666666666667,0.5838424999965355,0.5740281000034884,0.007938599970657378,0.5000817999825813,0.25424649991327897,0.08905810018768534,0.021734000009018928,0.1264721000334248,0.0660077000502497,0.00013260002015158534,0.008467699983157218,8.710002293810248e-05,0.00018640002235770226,0.5838424999965355
21,1.75,0.5102863000356592,0.49755809997441247,0.0070035000098869205,0.43061360000865534,0.20446059986716136,0.08765790000325069,0.019591899996157736,0.1114780999487266,0.05994099995587021,0.00012179999612271786,0.011821799969766289,0.00013840000610798597,0.00016419996973127127,0.5102863000356592
22,1.8333333333333333,1.006912199954968,0.9960040999576449,0.010213200002908707,0.9203204999794252,0.4455693999771029,0.16129099990939721,0.04462489997968078,0.2548649000818841,0.06547039997531101,0.00011960003757849336,0.010043299989774823,8.939998224377632e-05,0.0001841000048443675,1.006912199954968
23,1.9166666666666667,1.6354067000211217,1.6251046999823302,0.0034216000349260867,1.59417910000775,0.8255664999596775,0.25312709994614124,0.07225970015861094,0.4232856997405179,0.027503999939654022,0.00013280002167448401,0.009316599986050278,9.099999442696571e-05,0.0001802999759092927,1.6354067000211217
24,2.0,0.9733509999932721,0.955449300003238,0.005820600199513137,0.8990200998960063,0.4553343994775787,0.1497539000120014,0.04005669994512573,0.24162840005010366,0.0506085999077186,0.00018720002844929695,0.01687110000057146,0.00011270004324615002,0.00026679999427869916,0.9733509999932721
25,2.0833333333333335,0.8238113000406884,0.8124107000185177,0.010994800017215312,0.7003773000324145,0.3608168999198824,0.12449350010138005,0.02862459991592914,0.17515610007103533,0.10103859996888787,0.00012470001820474863,0.01032100000884384,0.00010360003216192126,0.00018119998276233673,0.8238113000406884
26,2.1666666666666665,0.5432720999815501,0.5330699000041932,0.007947599980980158,0.44846530008362606,0.2233017000835389,0.08440660004271194,0.01853649999247864,0.11450969992438331,0.07665699993958697,0.00012229999992996454,0.009108700032811612,0.00020589999621734023,0.00017220003064721823,0.5432720999815501
27,2.25,0.5723546000081114,0.5633593000238761,0.009726800140924752,0.45209949993295595,0.21181070007150993,0.09830529999453574,0.017993199813645333,0.11505770002258942,0.10153299994999543,0.0001238000113517046,0.008129900030326098,8.480000542476773e-05,0.00018360000103712082,0.5723546000081114
28,2.3333333333333335,0.42600550001952797,0.4152999999932945,0.01220260001718998,0.3213238999596797,0.15249389997916296,0.07487899990519509,0.011479000037070364,0.07612239982699975,0.0817735000164248,0.00012179999612271786,0.009825700020883232,0.0001018000184558332,0.0002272999845445156,0.42600550001952797
29,2.4166666666666665,0.7611171000171453,0.7473920999909751,0.01117340027121827,0.5969287997577339,0.2867772999452427,0.12789949990110472,0.021032700198702514,0.15034370007924736,0.1392898999620229,0.00018779997481033206,0.012480599980335683,0.0001466000103391707,0.00019880000036209822,0.7611171000171453
30,2.5,1.2855099000153132,1.2752550999866799,0.010936399979982525,1.1525293001323007,0.5849356999970041,0.19325900002149865,0.048638800042681396,0.307882999884896,0.11178939987439662,0.00021009996999055147,0.008916900027543306,9.470002260059118e-05,0.00020370003767311573,1.2855099000153132
31,2.5833333333333335,1.144566000031773,1.1337003999506123,0.01194759993813932,1.0021277000196278,0.49416659987764433,0.17636730015510693,0.0453982999897562,0.2692225001519546,0.11962509999284521,0.00015890004578977823,0.00988090003374964,9.410001803189516e-05,0.00019609997980296612,1.144566000031773
32,2.6666666666666665,0.6933736000210047,0.6828922999557108,0.007023399928584695,0.5993800000287592,0.29061860009096563,0.11116800032323226,0.028177699947264045,0.15903699985938147,0.07648889999836683,0.0001317000132985413,0.009567499975673854,9.099999442696571e-05,0.0002739999908953905,0.6933736000210047
33,2.75,0.8155352000030689,0.8036087999935262,0.00885389995528385,0.7088289999519475,0.34647950006183237,0.12872930016601458,0.033828800020273775,0.18783739994978532,0.08592590008629486,0.00016850000247359276,0.01093419996323064,9.06999921426177e-05,0.00018360000103712082,0.8155352000030689
34,2.8333333333333335,0.7175145000219345,0.7070040000253357,0.007344300043769181,0.6312924999510869,0.3198234998853877,0.10856730013620108,0.032311700109858066,0.16018290002830327,0.06836720003047958,0.0001686000032350421,0.009550000017043203,0.0001097000204026699,0.0001773000112734735,0.7175145000219345
35,2.9166666666666665,1.0373523000162095,1.0269381999969482,0.009837199992034584,0.9178051999770105,0.4472286000964232,0.16049050010042265,0.03876799996942282,0.2565802999888547,0.09929580002790317,0.0001370999962091446,0.008931299962569028,9.929999941959977e-05,0.0001984999980777502,1.0373523000162095
36,3.0,0.8434249999700114,0.8338404999813065,0.00808530009817332,0.7371550999232568,0.3759084001649171,0.12274219992104918,0.031100300140678883,0.19548390002455562,0.08860009995987639,0.0002036000369116664,0.00852510001277551,8.559995330870152e-05,0.0002635999699123204,0.8434249999700114
37,3.0833333333333335,0.9051429000101052,0.8947603999986313,0.007334400026593357,0.7890457000466995,0.39541310007916763,0.1363605999504216,0.03184819995658472,0.21296660002553836,0.09838029992533848,0.00015679997159168124,0.00935329997446388,0.00013650004984810948,0.00020439998479560018,0.9051429000101052
38,3.1666666666666665,1.2082368999836035,1.1990265999920666,0.012277600239031017,1.052490999805741,0.5308245999040082,0.17995050002355129,0.04210389999207109,0.28259510005591437,0.1342579999472946,0.00012199999764561653,0.008260599977802485,8.769996929913759e-05,0.00019350001821294427,1.2082368999836035
39,3.25,0.6785613999818452,0.6658421999891289,0.009969400009140372,0.5686839999980293,0.2805736002046615,0.10556620004354045,0.02126730012241751,0.15080980001948774,0.08718879998195916,0.00015460001304745674,0.011555499979294837,0.00012039998546242714,0.00032920000376179814,0.6785613999818452
