QuestionNo,StepNo,SimTime,VehicleID,CommandID,CarrierID,VehicleState,CurrentEdgeID,Position,Speed,NextEdgeID,Action,Reason,RelatedVehicleID
1,0,0.0,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,3248.7,0.0,547,运行,正常运行,
1,0,0.0,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,9024.1,0.0,547,运行,正常运行,
1,0,0.0,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,14799.5,0.0,547,运行,正常运行,
1,0,0.0,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,8559.7,0.0,540,运行,正常运行,
1,0,0.0,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,19972.5,0.0,541,运行,正常运行,
1,0,0.0,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,5135.8,0.0,,运行,正常运行,
1,0,0.0,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,14266.1,0.0,,运行,正常运行,
1,0,0.0,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,23396.4,0.0,517,运行,正常运行,
1,0,0.0,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,8559.7,0.0,510,运行,正常运行,
1,0,0.0,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,19972.5,0.0,511,运行,正常运行,
1,0,0.0,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,5210.7,0.0,,运行,正常运行,
1,0,0.0,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,14474.1,0.0,,运行,正常运行,
1,0,0.0,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,23737.5,0.0,489,运行,正常运行,
1,0,0.0,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,8684.5,0.0,,运行,正常运行,
1,0,0.0,OHT15,HOSTTRANSFER-20251001155204412,,前往取货,483,20263.7,0.0,,运行,正常运行,
1,0,0.0,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,5159.7,0.0,,运行,正常运行,
1,0,0.0,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,14332.5,0.0,,运行,正常运行,
1,0,0.0,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,23505.3,0.0,455,运行,正常运行,
1,0,0.0,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,8654.5,0.0,449,运行,正常运行,
1,0,0.0,OHT20,HOSTTRANSFER-20251001155204397,,前往取货,448,20193.7,0.0,,运行,正常运行,
1,1,0.2,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,3288.7,400.0,547,运行,弯轨等待,OHT03
1,1,0.2,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,9064.1,400.0,547,运行,弯轨等待,OHT03
1,1,0.2,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,14839.5,400.0,547,运行,汇流避让,
1,1,0.2,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,8599.7,400.0,540,运行,弯轨等待,
1,1,0.2,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,20012.5,400.0,541,运行,正常运行,
1,1,0.2,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,5175.8,400.0,,运行,正常运行,
1,1,0.2,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,14306.1,400.0,,运行,正常运行,
1,1,0.2,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,23436.4,400.0,517,运行,弯轨等待,
1,1,0.2,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,8599.7,400.0,510,运行,弯轨等待,
1,1,0.2,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,20012.5,400.0,511,运行,正常运行,
1,1,0.2,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,5250.7,400.0,,运行,正常运行,
