QuestionNo,Candidate,CompletedTasks,AvgTransferTime_s,Makespan_s,MinContinuousClearance_mm,HardViolations,FutureLeakCount,ResourceCarrierOnline,HardGate,Selected
1,baseline,32,206.4625,406.0,307.7999999999993,0,0,通过,通过,否
1,insertion,32,193.08125,401.6,310.02247453315454,0,0,通过,通过,否
1,ALNS,32,171.5,332.8,310.00202984308294,0,0,通过,通过,是
2,baseline,190,145.77998947368422,3719.0,304.59999999999854,0,0,通过,通过,否
2,rolling,190,145.77998947368422,3719.0,304.59999999999854,0,0,通过,通过,否
2,balanced,190,145.77998947368422,3719.0,304.59999999999854,0,0,通过,通过,是
2,document,190,149.56420000000003,3743.6,307.4695960239078,2,0,失败,失败,否
3,direct,600,849.5320866666667,4227.8,307.7999999999993,0,0,通过,通过,否
3,microbatch,600,830.4580866666666,4167.4,307.7999999999993,0,0,通过,通过,是
3,pressure,600,854.8100866666666,4261.2,307.7999999999993,0,0,通过,通过,否
3,full,600,851.2697533333334,4216.8,307.7999999999993,0,0,通过,通过,否
