QuestionNo,CommandID,CarrierID,Priority,InstallTime,Source,Destination,VehicleID,AssignedTime,WaitAssignTime,VehicleFromArrivedTime,VehicleAcquireStartTime,VehicleAcquireEndTime,VehicleDepartedTime,VehicleToArrivedTime,VehicleDepositStartTime,VehicleDepositEndTime,TransferCompletedTime,ToSourceDistance,ToDestinationDistance,TransferTime,MoveToSourcePath,MoveToDestinationPath,PausedCount,PausingTime
1,HOSTTRANSFER-20251001155204397,CS-D0001,50,2025-10-01 15:52:04.397000,P36,P30,OHT20,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:05.397000,2025-10-01 15:52:05.397000,2025-10-01 15:52:13.397000,2025-10-01 15:52:13.397000,2025-10-01 15:53:12.397000,2025-10-01 15:53:12.397000,2025-10-01 15:53:20.397000,2025-10-01 15:53:20.397000,452.3,41740.2,76.0,130,130;131;125;121;116;115;114,0,0
1,HOSTTRANSFER-20251001155204398,CS-D0002,50,2025-10-01 15:52:04.397000,P27,P23,OHT14,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:21.797000,2025-10-01 15:52:21.797000,2025-10-01 15:52:29.797000,2025-10-01 15:52:29.797000,2025-10-01 15:53:13.597000,2025-10-01 15:53:13.597000,2025-10-01 15:53:21.597000,2025-10-01 15:53:21.597000,12041.5,30905.2,77.2,97,97;98;90;83,0,0
1,HOSTTRANSFER-20251001155204399,CS-D0003,50,2025-10-01 15:52:04.397000,P24,P27,OHT10,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:39.597000,2025-10-01 15:52:39.597000,2025-10-01 15:52:47.597000,2025-10-01 15:52:47.597000,2025-10-01 15:53:49.197000,2025-10-01 15:53:49.197000,2025-10-01 15:53:57.197000,2025-10-01 15:53:57.197000,24720.7,43534.2,112.8,71;72;73;75;77;84;83,83;82;89;97,0,0
1,HOSTTRANSFER-20251001155204400,CS-D0004,50,2025-10-01 15:52:04.397000,P31,P35,OHT17,2025-10-01 15:52:04.397000,0,2025-10-01 15:53:58.797000,2025-10-01 15:53:58.797000,2025-10-01 15:54:06.797000,2025-10-01 15:54:06.797000,2025-10-01 15:54:32.597000,2025-10-01 15:54:32.597000,2025-10-01 15:54:40.597000,2025-10-01 15:54:40.597000,12670.0,18178.8,156.2,116,116;115;120;124;130,0,0
1,HOSTTRANSFER-20251001155204401,CS-D0005,50,2025-10-01 15:52:04.397000,P19,P04,OHT08,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:27.197000,2025-10-01 15:52:27.197000,2025-10-01 15:52:35.197000,2025-10-01 15:52:35.197000,2025-10-01 15:55:59.597000,2025-10-01 15:55:59.597000,2025-10-01 15:56:07.597000,2025-10-01 15:56:07.597000,15919.3,145011.3,243.2,53;52;59;63;71,71;72;64;60;53;52;51;50;49;48;46;31;24;25;26;27;28;29;22;18;12;11;10,0,0
1,HOSTTRANSFER-20251001155204402,CS-D0006,50,2025-10-01 15:52:04.397000,P32,P29,OHT19,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:48.397000,2025-10-01 15:52:48.397000,2025-10-01 15:52:56.397000,2025-10-01 15:52:56.397000,2025-10-01 15:53:40.397000,2025-10-01 15:53:40.397000,2025-10-01 15:53:48.397000,2025-10-01 15:53:48.397000,30964.5,28290.2,104.0,130;131;125;121;116,116;115;114;113,2,3200
1,HOSTTRANSFER-20251001155204403,CS-D0007,50,2025-10-01 15:52:04.397000,P21,P19,OHT01,2025-10-01 15:52:04.397000,0,2025-10-01 15:53:31.397000,2025-10-01 15:53:31.397000,2025-10-01 15:53:39.397000,2025-10-01 15:53:39.397000,2025-10-01 15:55:52.197000,2025-10-01 15:55:52.197000,2025-10-01 15:56:00.197000,2025-10-01 15:56:00.197000,61517.7,94069.3,235.8,10;9;17;21;28;29;30;32;34;39;40;45,45;104;106;107;105;44;41;38;33;4;2;1;3;5;14;23;32;34;39;40;43;47;54;53;52;59;63;71,0,0
1,HOSTTRANSFER-20251001155204404,CS-D0008,53,2025-10-01 15:52:04.397000,P23,P24,OHT12,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:13.397000,2025-10-01 15:52:13.397000,2025-10-01 15:52:21.397000,2025-10-01 15:52:21.397000,2025-10-01 15:53:31.597000,2025-10-01 15:53:31.597000,2025-10-01 15:53:39.597000,2025-10-01 15:53:39.597000,6118.9,49713.4,95.2,83,83;82;89;97;98;90;83,0,0
1,HOSTTRANSFER-20251001155204405,CS-D0009,50,2025-10-01 15:52:04.397000,P11,P04,OHT03,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:42.597000,2025-10-01 15:52:42.597000,2025-10-01 15:52:50.597000,2025-10-01 15:52:50.597000,2025-10-01 15:53:38.197000,2025-10-01 15:53:38.197000,2025-10-01 15:53:46.197000,2025-10-01 15:53:46.197000,26790.4,33702.5,101.8,10;9;17;21;28,28;29;22;18;12;11;10,0,0
1,HOSTTRANSFER-20251001155204406,CS-D0010,53,2025-10-01 15:52:04.397000,P33,P31,OHT18,2025-10-01 15:52:04.397000,0,2025-10-01 15:53:35.197000,2025-10-01 15:53:35.197000,2025-10-01 15:53:43.197000,2025-10-01 15:53:43.197000,2025-10-01 15:55:07.797000,2025-10-01 15:55:07.797000,2025-10-01 15:55:15.797000,2025-10-01 15:55:15.797000,13294.0,59926.8,191.4,113;112;118;122;127,127;128;129;130;131;125;121;116,0,0
1,HOSTTRANSFER-20251001155204407,CS-D0011,50,2025-10-01 15:52:04.397000,P18,P06,OHT15,2025-10-01 15:52:04.397000,0,2025-10-01 15:54:14.997000,2025-10-01 15:54:14.997000,2025-10-01 15:54:22.997000,2025-10-01 15:54:22.997000,2025-10-01 15:57:48.397000,2025-10-01 15:57:48.397000,2025-10-01 15:57:56.397000,2025-10-01 15:57:56.397000,26278.4,140147.8,352.0,80;79;78;76;74;67;68;69;70,70;71;72;64;60;53;52;51;50;49;48;46;31;24;25;26;27;28;29;22;18;12;11,4,7000
1,HOSTTRANSFER-20251001155204408,CS-D0012,50,2025-10-01 15:52:04.397000,P12,P06,OHT05,2025-10-01 15:52:04.397000,0,2025-10-01 15:54:07.997000,2025-10-01 15:54:07.997000,2025-10-01 15:54:15.997000,2025-10-01 15:54:15.997000,2025-10-01 15:57:02.997000,2025-10-01 15:57:02.997000,2025-10-01 15:57:10.997000,2025-10-01 15:57:10.997000,0.0,110868.6,306.6,43,43;47;54;53;52;51;50;49;48;46;31;24;25;26;27;28;29;22;18;12;11,5,8600
1,HOSTTRANSFER-20251001155204409,CS-D0013,50,2025-10-01 15:52:04.397000,P30,P32,OHT20,2025-10-01 15:52:04.397000,0,2025-10-01 15:53:20.397000,2025-10-01 15:53:20.397000,2025-10-01 15:53:28.397000,2025-10-01 15:53:28.397000,2025-10-01 15:55:01.797000,2025-10-01 15:55:01.797000,2025-10-01 15:55:09.797000,2025-10-01 15:55:09.797000,0.0,66073.8,185.4,114,114;113;112;118;122;127;128;129;130;131;125;121;116,1,200
1,HOSTTRANSFER-20251001155204410,CS-D0014,50,2025-10-01 15:52:04.397000,P21,P14,OHT07,2025-10-01 15:52:04.397000,0,2025-10-01 15:54:37.997000,2025-10-01 15:54:37.997000,2025-10-01 15:54:45.997000,2025-10-01 15:54:45.997000,2025-10-01 15:56:32.397000,2025-10-01 15:56:32.397000,2025-10-01 15:56:40.397000,2025-10-01 15:56:40.397000,0.0,75446.6,276.0,45,45;104;106;107;105;44;41;38;33;4;2;1;3;5;14;23;32;34;39;40;43;47;54;53,0,0
1,HOSTTRANSFER-20251001155204411,CS-D0015,50,2025-10-01 15:52:04.397000,P21,P14,OHT06,2025-10-01 15:52:04.397000,0,2025-10-01 15:54:56.197000,2025-10-01 15:54:56.197000,2025-10-01 15:55:04.197000,2025-10-01 15:55:04.197000,2025-10-01 15:56:50.597000,2025-10-01 15:56:50.597000,2025-10-01 15:56:58.597000,2025-10-01 15:56:58.597000,0.0,75446.6,294.2,45,45;104;106;107;105;44;41;38;33;4;2;1;3;5;14;23;32;34;39;40;43;47;54;53,0,0
1,HOSTTRANSFER-20251001155204412,CS-D0016,50,2025-10-01 15:52:04.397000,P27,P22,OHT15,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:05.397000,2025-10-01 15:52:05.397000,2025-10-01 15:52:13.397000,2025-10-01 15:52:13.397000,2025-10-01 15:53:29.797000,2025-10-01 15:53:29.797000,2025-10-01 15:53:37.797000,2025-10-01 15:53:37.797000,462.3,46919.2,93.4,97,97;98;90;83;82;81;80,2,9600
1,HOSTTRANSFER-20251001155204413,CS-D0017,90,2025-10-01 15:52:04.397000,P34,P32,OHT16,2025-10-01 15:52:04.397000,0,2025-10-01 15:53:33.597000,2025-10-01 15:53:33.597000,2025-10-01 15:53:41.597000,2025-10-01 15:53:41.597000,2025-10-01 15:54:39.597000,2025-10-01 15:54:39.597000,2025-10-01 15:54:47.597000,2025-10-01 15:54:47.597000,6953.8,40303.0,163.2,127;128;129,129;130;131;125;121;116,2,800
1,HOSTTRANSFER-20251001155204414,CS-D0018,53,2025-10-01 15:52:04.397000,P31,P32,OHT17,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:13.597000,2025-10-01 15:52:13.597000,2025-10-01 15:52:21.597000,2025-10-01 15:52:21.597000,2025-10-01 15:53:32.797000,2025-10-01 15:53:32.797000,2025-10-01 15:53:40.797000,2025-10-01 15:53:40.797000,6302.5,50454.8,96.4,116,116;115;120;124;130;131;125;121;116,0,0
1,HOSTTRANSFER-20251001155204415,CS-D0019,50,2025-10-01 15:52:04.397000,P12,P11,OHT04,2025-10-01 15:52:04.397000,0,2025-10-01 15:54:32.397000,2025-10-01 15:54:32.397000,2025-10-01 15:54:40.397000,2025-10-01 15:54:40.397000,2025-10-01 15:56:47.997000,2025-10-01 15:56:47.997000,2025-10-01 15:56:55.997000,2025-10-01 15:56:55.997000,0.0,90435.1,291.6,43,43;47;54;53;52;51;50;49;48;46;31;24;25;26;27;28,0,0
1,HOSTTRANSFER-20251001155204416,CS-D0020,50,2025-10-01 15:52:04.397000,P06,P09,OHT13,2025-10-01 15:52:04.397000,0,2025-10-01 15:54:30.397000,2025-10-01 15:54:30.397000,2025-10-01 15:54:38.397000,2025-10-01 15:54:38.397000,2025-10-01 15:55:42.197000,2025-10-01 15:55:42.197000,2025-10-01 15:55:50.197000,2025-10-01 15:55:50.197000,5298.0,45127.3,225.8,12;11,11;10;9;8;7;6;15;19;25;26,0,0
1,HOSTTRANSFER-20251001155204417,CS-D0021,53,2025-10-01 15:52:04.397000,P23,P27,OHT11,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:26.397000,2025-10-01 15:52:26.397000,2025-10-01 15:52:34.397000,2025-10-01 15:52:34.397000,2025-10-01 15:53:18.597000,2025-10-01 15:53:18.597000,2025-10-01 15:53:26.597000,2025-10-01 15:53:26.597000,15382.3,31171.2,82.2,83,83;82;89;97,0,0
1,HOSTTRANSFER-20251001155204418,CS-D0022,50,2025-10-01 15:52:04.397000,P14,P21,OHT06,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:26.797000,2025-10-01 15:52:26.797000,2025-10-01 15:52:34.797000,2025-10-01 15:52:34.797000,2025-10-01 15:54:48.197000,2025-10-01 15:54:48.197000,2025-10-01 15:54:56.197000,2025-10-01 15:54:56.197000,15557.2,90113.6,171.8,53,53;52;51;50;49;48;46;31;24;25;26;27;28;29;30;32;34;39;40;45,1,6000
1,HOSTTRANSFER-20251001155204419,CS-D0023,50,2025-10-01 15:52:04.397000,P33,P29,OHT19,2025-10-01 15:52:04.397000,0,2025-10-01 15:54:07.397000,2025-10-01 15:54:07.397000,2025-10-01 15:54:15.397000,2025-10-01 15:54:15.397000,2025-10-01 15:54:34.197000,2025-10-01 15:54:34.197000,2025-10-01 15:54:42.197000,2025-10-01 15:54:42.197000,13294.0,13191.8,157.8,113;112;118;122;127,127;128;123;119;113,0,0
1,HOSTTRANSFER-20251001155204420,CS-D0024,53,2025-10-01 15:52:04.397000,P33,P29,OHT18,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:41.397000,2025-10-01 15:52:41.397000,2025-10-01 15:52:49.397000,2025-10-01 15:52:49.397000,2025-10-01 15:53:08.197000,2025-10-01 15:53:08.197000,2025-10-01 15:53:16.197000,2025-10-01 15:53:16.197000,26043.9,13191.8,71.8,116;115;114;113;112;118;122;127,127;128;123;119;113,0,0
1,HOSTTRANSFER-20251001155204421,CS-D0025,53,2025-10-01 15:52:04.397000,P14,P21,OHT07,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:13.797000,2025-10-01 15:52:13.797000,2025-10-01 15:52:21.797000,2025-10-01 15:52:21.797000,2025-10-01 15:54:29.997000,2025-10-01 15:54:29.997000,2025-10-01 15:54:37.997000,2025-10-01 15:54:37.997000,6426.9,90113.6,153.6,53,53;52;51;50;49;48;46;31;24;25;26;27;28;29;30;32;34;39;40;45,1,800
1,HOSTTRANSFER-20251001155204422,CS-D0026,99,2025-10-01 15:52:04.397000,P32,P33,OHT16,2025-10-01 15:52:04.397000,0,2025-10-01 15:52:08.797000,2025-10-01 15:52:08.797000,2025-10-01 15:52:16.797000,2025-10-01 15:52:16.797000,2025-10-01 15:53:15.597000,2025-10-01 15:53:15.597000,2025-10-01 15:53:23.597000,2025-10-01 15:53:23.597000,2805.3,41584.2,79.2,116,116;115;114;113;112;118;122;127,0,0
